City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,262.48,67,3,10.4,GL,1708635850
1,tralee,52.2704,-9.7026,279.18,80,88,10.85,IE,1708636055
2,hermanus,-34.4187,19.2345,290.26,65,5,4.97,ZA,1708636305
3,inari,68.906,27.0288,272.26,92,100,5.6,FI,1708636305
4,port-aux-francais,-49.35,70.2167,279.36,77,100,12.69,TF,1708636056
5,grytviken,-54.2811,-36.5092,276.41,88,100,4.65,GS,1708636305
6,bethel,41.3712,-73.414,279.2,69,0,4.12,US,1708636204
7,robore,-18.3333,-59.75,302.85,59,97,3.36,BO,1708636205
8,vrontados,38.4089,26.1328,281.07,93,20,2.06,GR,1708636205
9,stanley,54.868,-1.6985,275.66,81,0,6.17,GB,1708636206
10,kapit,2.0167,112.9333,296.36,99,60,0.44,MY,1708636207
11,adamstown,-25.066,-130.1015,299.31,77,31,4.76,PN,1708636207
12,griffith,41.5284,-87.4237,288.9,58,0,3.09,US,1708636208
13,inhambane,-23.865,35.3833,298.75,79,15,4.55,MZ,1708636208
14,chonchi,-42.6128,-73.8092,291.55,66,43,3.36,CL,1708636209
15,saipan,15.1355,145.701,298.54,83,40,8.23,MP,1708636209
16,regina,50.4501,-104.6178,274.84,72,52,8.49,CA,1708636209
17,karatsu,33.4425,129.9697,281.09,78,100,3.13,JP,1708636210
18,ribeira grande,38.5167,-28.7,286.91,71,40,4.12,PT,1708636210
19,pokhara,28.2333,83.9833,282.85,36,3,3.58,NP,1708635584
20,tomatlan,19.9333,-105.25,305.94,33,34,4.04,MX,1708636211
21,yellowknife,62.456,-114.3525,257.82,91,100,5.01,CA,1708636211
22,peace river,56.2501,-117.286,276.37,73,8,3.93,CA,1708636165
23,black river,18.0264,-77.8487,298.78,54,0,3.36,JM,1708636212
24,waitangi,-43.9535,-176.5597,288.61,86,91,3.58,NZ,1708636125
25,fort st. john,56.2499,-120.8529,278.1,53,11,5.5,CA,1708636212
26,berezovyy,51.6667,135.7,247.82,90,8,2.19,RU,1708636213
27,port elizabeth,-33.918,25.5701,292.21,88,49,0.89,ZA,1708636213
28,saldanha,-33.0117,17.9442,290.8,76,0,9.28,ZA,1708636213
29,polyarnyy,69.1989,33.4478,270.78,86,100,7.06,RU,1708636214
30,udachny,66.4167,112.4,244.61,85,86,1.26,RU,1708636214
31,chui,-33.6971,-53.4616,298.3,68,54,5.26,UY,1708636215
32,labasa,-16.4167,179.3833,301.51,84,100,0.87,FJ,1708636215
33,invercargill,-46.4,168.35,289.83,74,22,2.68,NZ,1708636215
34,puerto natales,-51.7236,-72.4875,280.4,81,75,6.69,CL,1708636216
35,mount pearl,47.5166,-52.7813,271.4,91,100,2.24,CA,1708636216
36,puducherry,11.9333,79.8167,298.94,81,40,4.35,IN,1708636033
37,igrim,63.1906,64.4162,256.55,99,82,2.09,RU,1708636217
38,lompoc,34.6391,-120.4579,292.23,66,0,5.14,US,1708636218
39,alice springs,-23.7,133.8833,296.6,49,16,1.54,AU,1708636218
40,quchan,37.106,58.5095,274.1,71,7,3.28,IR,1708636219
41,kerikeri,-35.2268,173.9474,295.32,83,71,0.55,NZ,1708636219
42,conde,-7.2597,-34.9075,301.85,79,20,5.14,BR,1708635967
43,uturoa,-16.7333,-151.4333,301.55,74,83,4.04,PF,1708636220
44,fale old settlement,-9.3852,-171.2468,302.27,76,49,6.07,TK,1708636221
45,kirillov,59.863,38.3813,268.14,94,100,3.73,RU,1708636221
46,kruisfontein,-34.0033,24.7314,290.61,67,88,0.89,ZA,1708636222
47,oranjemund,-28.55,16.4333,289.47,87,0,5.86,NA,1708636322
48,kununurra,-15.7667,128.7333,300.28,80,53,1.73,AU,1708636322
49,nemuro,43.3236,145.575,265.55,64,100,5.06,JP,1708636323
50,longyearbyen,78.2186,15.6401,262.06,79,0,5.66,SJ,1708636323
51,west island,-12.1568,96.8225,301.14,78,40,4.12,CC,1708636324
52,gadzhiyevo,69.2551,33.3362,270.85,86,100,6.9,RU,1708636325
53,papao,-17.75,-149.55,302.96,73,96,1.58,PF,1708636325
54,borogontsy,62.6683,131.1683,230.27,100,57,1.33,RU,1708636326
55,phang nga,8.4509,98.5298,300.17,93,54,1.53,TH,1708636326
56,nagqu,31.5,92.0,264.02,45,100,4.42,CN,1708636328
57,edinburgh of the seven seas,-37.0676,-12.3116,290.09,80,79,7.61,SH,1708636328
58,kodinsk,58.6881,99.1844,252.28,100,100,0.93,RU,1708636328
59,ilulissat,69.2167,-51.1,261.16,85,100,2.06,GL,1708636329
60,anadyr,64.75,177.4833,261.43,79,75,4.0,RU,1708636330
61,mokopane,-24.1944,29.0097,296.47,61,28,3.16,ZA,1708636330
62,blackmans bay,-43.0167,147.3167,290.22,59,42,0.89,AU,1708636330
